,genre,colour
0,Alternative Rock,darkorange
1,Ambient,tomato
2,Blues,maroon
3,Electronic,slategray
4,Experimental,mistyrose
5,Folk,indigo
6,Folk-Rock,royalblue
7,Funk,teal
8,Garage Rock,papayawhip
9,Grunge,gainsboro
10,Hip-Hop,lightsalmon
11,Indie Rock,indianred
12,Jazz,orange
13,Lo-Fi,peachpuff
14,New Wave,darkkhaki
15,Pop,darkseagreen
16,Post-Rock,aquamarine
17,Progressive Rock,cadetblue
18,Psychedelic Rock,powderblue
19,Punk,dodgerblue
20,R&B,steelblue
21,Rock,thistle
22,Roots Rock,mediumpurple
23,Shoegaze,pink
24,Soft Rock,seashell
25,Soul,linen
26,Synth-pop,silver
27,Trip Hop,wheat
